step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,3,0.2276,0.2854,12.6,145.4
250112,mppi,3,0.1825,0.2461,8.375,336.625
500224,pi,3,0.4654,0.8816,4.8,60.2
500224,mppi,3,0.4966,0.9549,0.375,45.0
750080,pi,3,0.4932,0.9568,0.6,35.2
750080,mppi,3,0.5119,0.9495,0.875,52.0
1000192,pi,3,0.5096,0.9510,1.0,50.6
1000192,mppi,3,0.5291,0.9550,1.0,47.5
1250048,pi,3,0.4976,0.9500,1.0,46.8
1250048,mppi,3,0.5246,0.9600,0.25,45.0
1500160,pi,3,0.5078,0.9336,2.8,55.8
1500160,mppi,3,0.5381,0.9576,0.125,41.125
1750016,pi,3,0.4860,0.9176,2.4,52.0
1750016,mppi,3,0.5286,0.9609,0.5,37.625
2000128,pi,3,0.4098,0.7648,2.0,233.4
2000128,mppi,3,0.5401,0.9443,0.125,55.5
2250240,pi,3,0.5118,0.9586,0.0,49.2
2250240,mppi,3,0.5499,0.9562,0.25,47.375
2500096,pi,3,0.5324,0.9596,0.0,43.0
2500096,mppi,3,0.5503,0.9532,0.0,49.0
2750208,pi,3,0.5320,0.9590,0.0,43.2
2750208,mppi,3,0.5279,0.9612,0.0,42.125
3000064,pi,3,0.5286,0.9540,0.0,53.6
3000064,mppi,3,0.5251,0.9564,0.125,45.875
3250176,pi,3,0.5276,0.9740,0.4,39.2
3250176,mppi,3,0.5288,0.9562,0.375,46.125
3500032,pi,3,0.5272,0.9500,0.0,54.0
3500032,mppi,3,0.5323,0.9507,0.25,41.625
3750144,pi,3,0.5208,0.9588,0.0,49.0
3750144,mppi,3,0.5294,0.9572,0.0,46.125
4000000,pi,3,0.5392,0.9378,0.4,60.0
4000000,mppi,3,0.5593,0.9524,0.0,50.625
4250112,pi,3,0.5176,0.9574,0.0,44.4
4250112,mppi,3,0.5403,0.9531,0.25,44.875
4500224,pi,3,0.5302,0.9552,0.2,49.4
4500224,mppi,3,0.5620,0.9569,0.125,40.625
4750080,pi,3,0.5248,0.9610,0.2,35.6
4750080,mppi,3,0.5449,0.9566,0.125,46.25
5000192,pi,3,0.5264,0.9562,0.0,47.4
5000192,mppi,3,0.5490,0.9661,0.375,35.25
5250048,pi,3,0.5324,0.9514,0.2,52.6
5250048,mppi,3,0.5701,0.9627,0.125,44.5
5500160,pi,3,0.5354,0.9510,0.6,37.0
5500160,mppi,3,0.5628,0.9532,0.125,50.0
